,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Collinsella aerofaciens,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides massiliensis,Bacteroides ovatus,Bacteroides salyersiae,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides vulgatus,Bacteroides xylanisolvens,Bacteroidales bacterium ph8,Barnesiella intestinihominis,Coprobacter fastidiosus,Odoribacter splanchnicus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides merdae,Parabacteroides unclassified,Paraprevotella clara,Paraprevotella unclassified,Prevotella copri,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Alistipes unclassified,Streptococcus salivarius,Clostridium bolteae,Clostridium citroniae,Clostridium clostridioforme,Clostridium hathewayi,Clostridium leptum,Clostridium nexile,Clostridium symbiosum,Flavonifractor plautii,Eubacterium eligens,Eubacterium hallii,Eubacterium rectale,Eubacterium siraeum,Eubacterium sp 3 1 31,Eubacterium ventriosum,Ruminococcus gnavus,Ruminococcus obeum,Ruminococcus torques,Coprococcus comes,Dorea longicatena,Lachnospiraceae bacterium 1 1 57FAA,Lachnospiraceae bacterium 3 1 46FAA,Roseburia hominis,Roseburia intestinalis,Roseburia inulinivorans,Roseburia unclassified,Oscillibacter unclassified,Peptostreptococcaceae noname unclassified,Faecalibacterium prausnitzii,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus lactaris,Subdoligranulum unclassified,Coprobacillus unclassified,Acidaminococcus unclassified,Dialister invisus,Veillonella atypica,Veillonella dispar,Veillonella parvula,Veillonella unclassified,Burkholderiales bacterium 1 1 47,Parasutterella excrementihominis,Sutterella wadsworthensis,Bilophila unclassified,Escherichia coli,Escherichia unclassified,Klebsiella pneumoniae,Haemophilus parainfluenzae,Akkermansia muciniphila,C2likevirus unclassified
CSM7KOKN,0,0,0,0,0.0003547,0.0750917,0.0002869,0,0,0,0.112455,0,0.0008448,9.09E-05,0.0048132,0.0155228,0.233939,0.0220608,0.0742984,0.113032,0.0182018,0,0,0,0.0041675,0.0134701,0,0.0104531,0,0,0,0,0.0001762,0.0035684,0.0170321,0.0038882,0,0,0,0,0,0,0,0,0,0.0003558,0.0600823,0,0.0664906,0.0129916,0,0.0006755,0.0006959,0.0006804,0.0010041,0.001344,0,0.0099348,0,0,0,0,0.0008101,0.0012254,0,0.0482798,0,0,0,0.0035086,7.42E-05,0.0029023,0,0.0011633,0.0002135,0.0055532,0.0003526,0,0.0001413,0.0474904,4.76E-05,0,0,0,0.000705,0,0
CSM7KOLA,3.20E-05,0,0.0004874,0,0.0024647,0.0652784,0.0401601,1.13E-05,0,0.0002042,0,0,0.0072625,0,0.0003908,0,0.0313743,0.0132063,0.0833296,0.156853,0.0017044,0,0.02474,0,0.0064442,0.0198127,0,0.0025672,0,0,0,0,0.0009026,0.005174,0.0460048,0.0032458,0,0.0012084,0.0001331,0,0,0,0,0,0,0.0001799,0.0083484,0.0008226,0.0174691,0.0024996,0,0.0039863,9.97E-05,0.001629,0.0029882,0,0.0006944,0,0.0055439,0.0032983,0.116593,0.0269734,0,0,0.0022836,0.199526,0.0130023,0,0,0.0172925,4.61E-05,0,0,0.001034,0.0011492,0.0005661,0.0038972,0.0009022,0.0004275,0,0.0018012,0.0012911,2.14E-05,0,0.0253891,0,6.70E-05
CSM7KOLK,0,0,0,0,0,0.0282835,0,0.0516923,0,0,0,0.0068918,0,0,0.0068803,0,0.119619,0.0020622,0.119459,0.0001013,0.0033907,0.0023426,0.0565869,0.0004811,0.0066409,0.0005511,0,0.0154866,0.0017704,0,0,0,0.0702632,0.144207,0.0197368,0.0304844,0,0,0,0,0,0,0,0,0,0,0.0046582,0,0,0.187907,0,0,0,0.0002624,0.0005795,4.80E-05,7.25E-05,0,7.64E-05,0.0060319,0.0047851,0.000139,0.0068667,0.0021487,0,0.0173834,0,0,0.0005079,0.0196539,0,0,0,0,0,0,0,0,0,0.010767,0.0001191,0,0,0,0,0.0012711,0
CSM7KOLY,0.0017875,0,4.90E-05,0,0,0,0,0,0,0,0,0.384303,0,0,0.0372681,0,0,0,2.40E-06,1.66E-05,0,0,0,0,0,0,0,0,5.19E-05,0,0,0,0,0,0.24054,0,0,6.87E-05,9.10E-05,6.80E-06,3.00E-05,0,8.62E-05,0,1.84E-05,0.0008371,0.0044123,0,0.134242,0,0.0001356,0,0.0002275,9.51E-05,0.0021862,0,9.60E-06,0,0.003078,0.0142079,0.0841649,0.0140096,0,0.0058679,0,0.0427738,0.0040976,0,0,0.0077676,0,0,0.004914,0,0,0,0,0.000144,0,0,0,0,0,0,0.0006331,0.0029404,0
CSM7KOMB,0,0,0.0002215,0,0,0.0429546,0.0168949,0.0339094,0,0.0002238,0.0009008,0.205366,0,0.0007212,0.046577,0,0.0040493,0.015493,0.0562459,0.009987,0.0161596,0,0,0,0,0.0248677,0,0,0.0280995,0,0,0,9.15E-05,0.001647,0.0038756,0,0,0,0.0178014,0,0.0029446,0.0004019,0.0034192,0,0.0006161,0.0003937,0.0014203,0,0.0045249,0,0,1.39E-05,0.0155757,0.0007592,0.0033878,0,0.005192,0.0015867,0.002189,0,0.0019321,0,0.001374,0.0123478,0,0.0514792,0,0.0002219,0,0.0071625,0.000776,0.0001552,0.0116624,0,0,0.0001902,0,6.80E-05,0.0001686,0,0,0.283466,0,0,0,0.000226,0
CSM7KON2,0.0010939,0.0011769,0.0011951,0,0.0008545,0.0131041,0,0,0,0,0,0,0,0,0.0345867,0,0.055579,0.0014231,0.161797,0.0582507,5.03E-05,0.0032813,0,0,0.0047881,0.0115796,0,0.0292715,0,0,0,0,0,0.0069803,0.0793318,0,0,0,0,0,0,0,0.0006821,0,0,0.0028458,0.0154451,0,0.0583127,0.0008185,0,0,0,0.0028424,0.0014454,0.0018518,0.0055648,0,0.0022067,0,0.0035887,0.0064677,0.0034582,0.007475,0,0.274545,0,0,0,0.127811,0,0,0,0,0,0,5.84E-05,0,0,0,0.000433,0,0,0,0,0,0
CSM7KONA,0,0,0,0,0,0.0001849,0.258302,0,0,0.0011953,0.0171668,0,0,0.0458586,0.025321,0.0057933,0,0,0.0613846,0.0655499,0,0,0.0003848,0,0.0251016,0.0029214,0,0.001159,0.0762508,0,0,0,0.0022863,0.0235283,0.0009338,0.0062127,0,0,0.0031615,0,0.0070629,0,0,0,0,0.0048959,0,0,0.0069029,0,0,0,0,0,0.0032912,0,0.0005139,0.0004604,0,0,0,0,0.0003812,0.0111776,0,0,0,0,0,0.0654496,0,0.158402,0,0,0,0,0,0.0034143,0.0028607,0,0.0044382,0.0083856,0,0,0,0.0046905,0
CSM7KOOH,0,0,0,0,0,0.0255513,0.208393,0.001987,0,0,0,0.01219,0.0003001,0.160306,0.0073839,0,0,0.0166197,0.0502281,0.0327337,0.0004426,0.0151571,0,0,0,7.63E-05,0.0054607,0,0,0,0,0,0,0.0704026,0.0641601,0.0005415,0,2.48E-05,0,0,0,0,0.0001378,0,0,0,0.004673,0,0.0003406,0.0095647,0,0,0,0.0003549,0.0033546,0.0001791,7.82E-05,0.0001945,0.0034561,0.0015877,0.0058162,0.0031306,0.0614973,0.0008572,0,0.0476844,0,0.000537,0,0.0852705,0,0,0,0,0,0.0006381,0.0001222,0.0075816,0.0004517,0,0.0009376,0,0,0,0.0012314,0.0702632,0
CSM7KOOV,0.0037697,0,0.0003443,0,0,0.187654,0,0.082498,0,0,0,0,0,0,0.251269,0,0,0,0,0,0.003666,0,0,0,0,0,0,0,0.0001656,0,0,0,0,0,0,0,0,0,0.0150981,0,0.0009666,0.0149739,0,0,0.0020603,0.0014497,0,0,0.0539124,0,0,0,0.0015735,0.0003559,0.0170363,0,0,0,0,0,0,0,0.0013231,0.000185,0,0.0096221,0,0,0,0.033016,0.0001207,0,0.0081348,0,0,0,0,0,0.0022801,0,0.0110465,0.0012379,0,0,0,0,0
CSM7KOP8,0,0,0,0,0.0003289,0,0.0388511,0.0001942,0,0,0,0,0,0.0723515,0.03615,0,0.141857,0.0018322,0.226439,0.0265424,0.0017682,0,0,0,0,0.0010401,0,0.0256907,0.0089762,0,0,0,0.000637,0.0241922,0.0565087,0.0051946,0,0,1.43E-05,0,0,0,0.0001173,0,0,0,0.0101854,0.0001072,0.017808,0.140585,9.53E-05,0,8.15E-05,0.0001518,0.0023556,0.0008879,0.0003586,0,6.20E-06,0.0019712,0.007226,0.0009383,0,0.0011207,0,0.0674052,0.0093395,0,8.66E-05,0.0030503,0,0,0,0,0,0,1.07E-05,0.0005871,8.70E-06,0,0.0002229,4.69E-05,0.0001933,0,0.0001932,0.000856,0
CSM7KOPI,0,0,0.0001562,0,0,0.0503391,0.0239226,0.194515,0,0,0,0,0,0,0.0565883,0,0,0.0288487,0.354958,0.0001365,0.0031565,0,0,0,0,0.0672514,0,0,0.0551483,0,0,0,0,0,0,0,0,0,0.0026842,1.28E-05,0.0001038,0.0006032,0.0087236,0,0.0002046,0.0002316,0,0,0.0046837,0,0,0,0.0001273,0.0023741,0.0056145,0,0.0012908,0,0.007648,0,0.0107966,0,0.0096275,0.0072857,0.0002404,0.0574026,0,0.0004057,0,0.0069241,1.77E-05,0,0.0269024,0,0,0,0,0,0,0,0,5.14E-05,0,0,0,0,0
CSM7KOPS,0,0,0,0,0.0018981,0.0331144,0,0.008525,0,0.0005975,0,0.0965865,0,0,0.0542912,0,0,0.0476043,0.126793,0.0219294,0.123194,0,0,0,0.0284164,0.0024554,0,0,0.0352989,0,0,0,0.0002175,0.0018103,0,0,0.0063764,0.0008825,0.0039103,0.0001561,0.0018184,0.0059787,0,0,0.0143802,0.0038687,0,0,0,0,0,0,0,0.0018925,0.0020549,0.0029989,0,0.0010462,0,0,0,0,0,0,0,0.199038,0,0,0,0.0042538,0.0005965,0,0.0179639,0.007191,0.0011145,0.0019366,0.0271634,0.0044361,0.0090157,0,0,0.0014406,0,0.000273,0.0047658,0,0
CSM7KOSV,0,0,0,0,0,0.0321499,0,0.0742942,0,0,0,0.0027647,0,0,0.0074838,0,0.155494,0.0047117,0.210297,0,0.0057982,0.0052768,0.0458906,0.0002236,0.0098654,0.00039,0,0.0267702,0,0,0,0,0.0486651,0.120601,0.0585145,0.020714,0,0,0,0,0,0,0,0,0,0,0.0009201,0,0,0.011809,0,0,0,0.000246,0.0004392,2.35E-05,6.17E-05,0,5.80E-05,0.0036772,0.0045749,0.00038,0.0041733,0.0028653,0,0.0200999,0,0,0.0005722,0.0136077,0,0,0,0,0,0,0,0,0,0.015771,0.000418,0,0,0,0,0.0003628,0
CSMA9J65,0.0062924,0,0.0006643,0,0,0.0392659,0,0.062069,0,0,0,0.09332,0,0.0010674,0.0373106,0,9.75E-05,0.0001737,0.0008644,0.0015025,0.0014345,0,0,0,0,0,0,0,0.0003566,0,0,0,0,0,0,0,0.182372,0,0.01309,0,0.0017687,0.0067739,0.0151299,0,0.0015453,0.0055849,0,0,0.0195058,0,0,6.12E-05,0.0054661,0,0.0694563,0,0,0,0,0,3.02E-05,0,0.0003643,0,0,0.0092728,0.0127995,0,2.40E-05,0.0460327,0.001087,0,0.0125303,0,0,0,0,0,0.0084,0,0.013264,0.0667607,0,0.0007224,0,0.117581,0
ESM5MEBE,0,0,0.0011991,0.0009276,0.0002325,0,0,0,0,0.0607518,0,0,0,3.64E-05,0.0385084,0,4.41E-05,4.56E-05,2.63E-05,0.476145,0.0004108,0,0,0,0,0.0317634,0,0,0.0410813,0,0,0,0,0,0,0,0,0.0002772,0.0005286,0,0,0.0019621,0,0.0050599,0.0012878,0.0006292,0.0046385,0,0.0825654,0,0,0,0.0024489,0.0014399,0.0008653,0.0003526,0.0009679,0,0,0.0005759,0.0044932,0.0007521,5.10E-05,4.98E-05,0,0.170923,0,0,0,0.0008004,0,0,0.0136838,0.0006047,0.0016341,0.0027642,0.0108022,0.0001529,0.0024788,0,0.0027813,0.0071903,0,0,0.0107051,0,0
ESM5MEBG,0,0,0.0007813,8.50E-06,3.81E-05,0,0,0,0,0.0920915,0,0,0,1.61E-05,0.0250823,0,0,7.60E-05,0,0.54255,0.0003404,0,0,0,0,0.0242447,0,0,0.0315321,0,0,0,0,0,0,0,0,0.000167,0.0003603,0,0,0.0002556,0,0.0007337,0.0017252,0.0002551,0.0014,0,0.0285571,0,0,0,6.73E-05,0.0003141,0.0010865,0.0004922,0.0010763,0,0.0001137,0.0002524,0.0270749,0.0006464,0,5.40E-06,0.0001621,0.173135,0,0,0,0.000871,0,0,0.0073004,0.0008987,0.0008195,0.0115721,0.0061781,0.0001351,0.0023745,0,0.0099557,0.0012543,0.0009614,0,0.0012086,0,0
ESM5MEBU,0.0028075,0.0027256,0.0074444,0,0.0017409,0.0098603,0,0.016177,0,0.000147,0,0,0,0.0259311,0.053103,0.0026181,0,0.0475474,0.139792,0.0935584,0.0009155,0,0,0,0,2.29E-05,0,0.0455802,0.0277634,0,0,0,0,0,0.153367,0,0,6.13E-05,0,0,0,1.27E-05,0.0020241,0,0.0006888,0.0007399,0.0150975,0.0014109,0.0452188,0,0,0.0113756,0,0.0001564,0.0009313,0.0211076,0.0211496,0,0.0008813,0.0004284,0.10567,0.0086205,0,0.0047802,0.0003855,0.062534,0,0,0,0.0064123,0,0,0.0139291,0.0009453,0.0001516,0.0013891,0.0004245,0.0004779,0.0002688,0.0302573,0,0,0,0,0.0009211,0,0
ESM5MEC5,0.0028862,0.0009822,0.0022032,0,0.0004183,0.0092429,0,0.019841,0,7.77E-05,0,0,0,0.0446868,0.0722351,0.0013334,0,0.0683336,0.216183,0.095514,0.0056856,0,0,0,0,0,0,0.055796,0.033513,0,0,4.19E-05,0,0,0.128115,0,0,0,0,0,0,0,0.0003003,0,0.001305,0.0010673,0.0008658,0.0002362,0.0227589,0.0003372,0,0.0126333,0,4.73E-05,0.0031089,0.0014748,0.0089544,0.0002689,0.0026917,0.0015834,0.0848163,0.0060218,0,0.0090689,0,0.0295268,0,0,0,0.0036743,0,0,0.0130693,0.000349,0,0.0004754,0.0008638,0.0007111,0.0003966,0.032548,0,0,0,0.0003718,0.000783,0,0
ESM5MECL,0,0,0.0003214,0.0001024,1.13E-05,0,0,0,0,0.109161,0,0,0,0,0.0713057,0,0,0.0001394,0,0.415759,0.0039336,0,0,0,0,0.0538373,0,0,0.0364769,0,0,0,0,0,0,0,0,0.0002262,7.42E-05,0,0,0,0,0,3.95E-05,0,0.0112221,4.17E-05,0.0505257,0,0,0,0.0007993,0.0005346,0.0042474,0.0005054,0.0007762,0.0178602,3.40E-05,0.0016823,0.0130233,0.0012264,0,0,0.0002198,0.188135,0,0,0,0.0005456,0,0,0.0050015,0.0003791,0.0004774,0.0021983,0.0008211,2.86E-05,0.0007429,0,0.002577,0,0,0,0.0033509,0,0
ESM5MEDD,0,0,0.0001073,0.0008434,0.0028241,0.045897,0,0.0014901,0,0.0007898,0,0.0010422,0,0,0.0070298,0,0.226398,0.0002507,0.0733655,5.05E-05,0.0040234,0,0,0,0.010191,0,0,0.0601632,0,0,0,3.24E-05,0.0763882,0.0194112,0.101022,0.0283562,0,0,0.0038838,2.37E-05,0,0.0010618,0.0096381,0,0.0002379,0.0001716,0,0.0024196,0.0382783,0,0,0.0050749,5.81E-05,0.0026976,0.002152,0.0017186,0.0001371,0,0.000112,0.0012618,0.0003209,0.00111,4.87E-05,0.0064059,0,0.110059,2.25E-05,0.0008717,0,0.0915019,6.12E-05,0,0.0020455,0,0,0,2.95E-05,0.0004422,0.0007356,0,0.0038163,0.0042111,0,0,0,0.0334284,0
ESM5MEDN,0,0,0,0,0.0023393,0.0445275,0,0.232701,0,0.0029617,0,0.0186625,0,0,0.0115436,0,0.26727,0.0006838,0.0118982,0.0002678,0.0032934,0,0,0,0.0078627,0,0,0.0012502,0,0,0,0,0.0522814,0.0046068,0.0576729,0.0229615,0,0.0029335,0.0009251,0.000155,0,0.0008961,0.0050384,0,0,0.0006869,0,0.0062178,0.0211318,0,0,0.001508,0,0.0008288,0.0075309,0.0047594,0,0,0,0,0,0,0.000793,0.0193624,0,0.0907865,0,0,0,0.0330871,0,0,0,0.0005468,0,0,6.45E-05,0.0012828,0.0017057,0,0.0039436,0.0008456,0,0.0004409,0.0002518,0.0303503,0.0001372
ESM718SY,0.0204008,0.0013576,0.0025925,1.95E-05,0.0009266,0.0119784,0,0.0325038,0,0.0001028,0,0,0,0.0464427,0.0682703,0.0099216,6.46E-05,0.0486613,0.0457982,0.082404,0.0019622,0,0,0,0,0,0,0.0884636,0.0076002,0,0,0,0.0069339,0,0.236891,0,0,0,0,0,0,9.16E-05,0.0016232,0,0.0007637,0.0013517,0.01028,0.0029001,0.0481507,0.0010391,0,0.0185152,0.0002684,0.000435,0.0031049,0.0138578,0.0093359,0.0001387,0.0013368,0.0003997,0.0188691,0.0082698,0,0.0186108,0,0.0621784,0,0,0,0.0079774,0,0,0.0207758,0,0,0,0,0.0002528,0.0002463,0.0321807,0,0,0,0,0,0,0
ESM718TF,0,0.0001586,0,0,5.73E-05,0.005545,0,0.0012252,0,0,4.33E-05,0,0,0.0078394,0.0024884,0.0016519,0.0074474,0.0005668,0.0042363,0.0045779,0.0001459,0.0003094,0,0,0,0,0,0.0044291,0,0.0011041,0.0024498,0.455419,2.58E-05,0.00016,0.0090076,0.0010014,0,0.0006166,0,0,0,0,0,0,0,0,0.0064809,0,0.0242491,0.0007079,0,0.0013456,0,0.0018314,0.0035868,0.0006449,0.0028753,0.0001412,0.0010702,0.0007369,0.0038261,0.0046461,0,0.0001669,0.0064484,0.10647,0.0003233,0.000125,0.0014366,0.0019169,0,0,0,0.0001024,0,0.0012814,0.0006695,0,0,0.0435542,0.0007868,0.0022518,0.0007716,0,0.0082389,1.48E-05,0
ESM718TM,0,0,0,0,3.12E-05,0.0259124,0,0.0009107,0,9.49E-05,0.0022104,0,0,0.0105543,0.008053,0.0033344,0.0126477,0.0014429,0.0075467,0.010988,0.0008033,0.0019279,0,0,0,0,0,0.0075171,0.0067354,0.0009382,0.0019139,0.562801,0,0.0011566,0.0451532,0.0034043,0,0.0011446,0,0,0,0,0,0,0,0,0,0,0.0019279,0.0007266,0,0.0005312,0,0.0033901,0.000496,0,0.0010791,0,2.45E-05,0,0.0002009,0.0046021,0,0.0011872,0,0.0637087,0,0,0.0014453,0.0123874,0,0,0,9.45E-05,5.99E-05,0.0032057,0.0015849,0,0,0.0007024,0.0003471,0,0.0002023,0,0.0084994,0,0.0001445
